REGIONS;CERCLES;COMMUNES
KAYES;KAYES;KAYES COMMUNE
KAYES;KAYES;BANGASSI
KAYES;KAYES;COLIMBINE
KAYES;KAYES;GORY GOPELA
KAYES;KAYES;GOUMERA
KAYES;KAYES;HAWA DE MBAYA
KAYES;KAYES;KHOULOUM
KAYES;KAYES;LIBERTE DE MBAYA
KAYES;KAYES;SAME DIOMGOMA
KAYES;KAYES;SERO DIAMANOU
KAYES;KAYES;SOMANKIDY
KAYES;Ambidédi;FALEME
KAYES;Ambidédi;FEGUI
KAYES;Ambidédi;GUIDIMAKAN KERI KAFFO
KAYES;Ambidédi;KEMENE TAMBO
KAYES;Ambidédi;SONY
KAYES;Ambidédi;TAFACIRGA
KAYES;Aourou;DJELEBOU
KAYES;Aourou;KARAKORO
KAYES;Aourou; KOUSSANE
KAYES;Aourou; SAHEL
KAYES;BAFOULABE; BAFOULABE
KAYES;BAFOULABE; BAMAFELE
KAYES;BAFOULABE; DIOKELI
KAYES;BAFOULABE; GOUNFAN
KAYES;BAFOULABE; KOUNDIAN
KAYES;BAFOULABE; MAHINA
KAYES;BAFOULABE; NIAMBIA
KAYES;BAFOULABE; OUALIA
KAYES;DIAMOU;DIAMOU
KAYES;DIAMOU;LOGO
KAYES;KENIEBA; KENIEBA
KAYES;KENIEBA; BAYE
KAYES;KENIEBA; DABIA
KAYES;KENIEBA; DOMBIA
KAYES;KENIEBA; FALEA
KAYES;KENIEBA; FARABA
KAYES;KENIEBA; GUENEGORE
KAYES;KENIEBA; KASSAMA
KAYES;KENIEBA; KROUKOTO
KAYES;KENIEBA; SAGALO
KAYES;KENIEBA; SITAKILLY
KAYES;Oussoubidiagna; DIAKON
KAYES;Oussoubidiagna; DIALLAN
KAYES;Oussoubidiagna; KONTELA
KAYES;Oussoubidiagna; SIDIBELA
KAYES;Oussoubidiagna; TOMORA
KAYES;Sadiola; SADIOLA
KAYES;Sadiola; DIALAFARA
KAYES;Segala; KOUNIAKARY
KAYES;Segala; MARENA DIOMBOUGOU
KAYES;Segala; MARINTOUMANIA
KAYES;Segala; SEGALA
KAYES;Segala; TRINGA
KAYES;YELIMANE; GUIDIME
KAYES;YELIMANE; DIAFOUNOU DIONGAGA
KAYES;YELIMANE; DIAFOUNOU GORY
KAYES;YELIMANE; FANGA
KAYES;YELIMANE; GORY
KAYES;YELIMANE; KIRANE KANIAGA
KAYES;YELIMANE; KONSIGA
KAYES;YELIMANE; KREMIS
KAYES;YELIMANE; MAREKAFO
KAYES;YELIMANE; SOUMPOU
KAYES;YELIMANE; TOYA
NIORO;BEMA; BEMA
NIORO;BEMA; FASSOUDEBE
NIORO;BEMA; GROUMERA
NIORO;BEMA; GUEDEBINE
